skills_count,avg_assessment_score,project_count,cgpa,internship_count,placed
4,85,6,6.1,2,1
8,57,4,7.0,3,1
12,51,5,8.8,0,1
11,72,0,6.0,1,1
4,55,1,8.1,0,0
10,39,3,9.8,3,1
10,54,5,9.3,3,1
4,48,5,7.2,0,1
2,84,1,9.3,1,1
12,96,3,8.8,0,1
2,88,1,7.5,3,1
9,70,6,8.1,3,1
12,94,3,7.8,3,1
12,90,3,9.3,2,1
11,65,6,8.6,3,1
5,86,0,7.9,2,1
6,70,4,5.8,0,0
12,49,5,5.7,1,0
9,89,3,6.7,0,1
7,79,6,5.6,0,1
7,91,0,8.6,2,1
7,83,4,6.1,1,1
5,85,3,7.1,0,1
11,81,5,6.6,1,1
3,98,0,9.0,3,1
11,33,0,7.7,3,1
8,53,0,5.2,2,0
6,73,6,5.6,3,0
7,62,6,9.6,0,1
12,36,2,7.0,1,1
11,35,6,8.0,0,1
4,32,4,9.6,1,1
8,44,4,5.8,1,1
6,51,4,5.9,0,1
5,43,4,5.4,0,1
7,80,5,7.6,1,1
12,61,0,4.9,2,0
10,45,6,9.1,0,1
7,77,0,6.4,2,1
7,92,0,4.6,3,0
11,88,5,9.7,1,1
12,96,5,6.9,2,1
9,91,3,7.8,3,1
10,64,2,9.0,1,1
2,65,3,9.0,1,1
10,78,2,8.6,0,1
6,53,3,7.2,1,1
5,73,2,6.4,2,1
9,54,0,7.5,1,1
8,60,5,8.4,3,1
8,87,6,8.0,0,1
4,81,5,5.0,1,0
10,77,3,6.2,2,1
12,72,2,6.8,3,1
5,59,0,6.0,1,0
12,53,1,8.5,1,1
5,97,4,8.5,2,1
4,67,1,9.8,2,1
1,98,1,5.5,2,0
5,46,5,4.8,3,0
1,66,3,5.1,3,0
3,36,2,6.9,3,1
2,81,3,5.1,0,0
11,36,1,7.6,1,1
5,40,1,8.9,0,1
10,58,6,6.7,3,1
8,68,6,6.9,3,1
10,37,4,6.1,0,1
4,57,2,9.6,0,0
2,50,0,5.4,3,1
5,34,1,7.7,2,1
12,88,0,8.3,1,1
11,55,3,9.5,0,1
11,49,2,7.4,1,1
3,69,4,4.9,2,0
8,68,5,6.9,3,1
9,93,3,9.6,0,1
7,71,4,7.7,2,1
4,32,6,4.6,2,0
3,90,4,7.6,3,1
3,85,5,9.4,3,1
8,74,3,9.7,2,1
2,50,2,6.2,3,1
7,34,3,6.1,0,1
6,44,6,6.2,3,1
1,89,3,9.2,0,0
8,86,6,6.5,0,1
9,46,2,5.6,3,1
1,60,5,7.1,1,1
1,82,0,6.2,1,0
2,89,0,9.9,1,1
9,64,3,8.4,3,1
4,88,4,9.8,1,1
10,95,5,6.6,1,1
5,83,2,9.2,2,1
5,68,6,8.9,3,1
8,98,3,9.2,2,1
9,78,3,6.3,2,1
12,60,4,9.2,3,1
7,35,2,5.8,3,1
7,49,3,8.9,0,1
10,72,6,5.2,0,1
9,88,0,6.9,1,1
11,49,0,6.7,3,1
5,73,4,8.7,3,1
6,98,3,8.0,2,1
8,34,4,7.9,0,1
11,66,1,5.8,0,1
11,42,3,5.0,1,0
1,35,2,8.2,0,0
6,85,1,6.1,1,1
10,53,1,7.4,1,1
7,60,3,4.9,1,0
11,62,3,5.8,2,1
8,66,5,9.4,1,1
6,68,5,4.9,3,0
8,68,1,8.2,3,1
2,60,3,9.1,2,1
12,67,0,7.6,3,1
10,36,4,6.0,3,1
5,59,4,9.0,2,1
4,62,5,5.7,1,1
11,35,2,9.4,3,1
6,46,0,4.7,2,0
7,52,1,6.3,1,1
6,97,4,8.7,2,1
5,91,6,9.0,2,1
6,44,3,8.5,0,1
4,80,6,5.3,2,0
5,98,0,6.6,3,1
12,63,4,6.5,3,1
6,43,5,8.9,1,1
10,71,4,7.0,1,1
11,89,5,8.0,2,1
2,47,0,8.0,0,0
8,44,0,6.1,1,1
3,79,3,9.3,2,1
12,83,4,8.1,1,1
11,42,6,9.3,3,1
5,34,5,7.8,2,1
8,60,6,5.7,2,0
9,75,0,8.2,3,1
2,88,0,6.0,1,1
1,36,6,7.7,2,1
3,56,0,5.8,1,0
4,72,6,7.7,1,1
10,30,2,8.8,1,1
9,62,6,9.8,1,1
1,46,0,5.1,2,0
4,71,0,8.8,1,1
3,83,4,5.9,0,1
6,95,4,7.1,0,1
4,35,5,6.9,2,1
1,37,3,7.0,3,1
12,86,0,5.1,0,0
3,38,1,6.2,2,1
12,71,3,7.7,2,1
10,85,0,7.0,0,1
11,57,3,9.1,3,1
7,73,6,9.3,3,1
12,42,2,6.7,3,1
5,77,1,6.2,3,1
2,41,3,4.9,0,0
6,46,4,8.5,0,1
9,72,5,7.7,0,1
11,84,6,6.7,0,1
10,69,2,9.7,0,1
4,49,5,7.6,3,1
2,74,6,5.7,2,0
4,84,6,6.0,0,1
11,64,0,7.8,1,1
5,73,2,6.0,0,1
3,81,0,5.5,1,1
2,97,1,9.7,3,1
6,50,2,6.8,2,1
10,40,0,8.4,1,1
10,36,5,5.4,0,0
8,86,3,8.1,2,1
9,44,2,5.7,3,0
10,92,4,8.2,2,1
7,37,0,4.7,1,0
4,47,6,6.1,2,1
2,30,3,6.1,3,0
12,59,4,6.6,2,1
12,35,3,4.9,0,0
2,70,4,7.0,3,1
12,83,2,7.6,0,1
6,51,6,6.7,3,1
6,41,3,9.0,0,1
10,81,4,5.8,0,0
6,58,2,6.2,1,1
11,44,4,4.9,1,0
6,74,5,9.4,1,1
3,62,1,5.8,1,1
11,39,1,8.6,3,1
10,87,5,7.0,2,1
11,70,1,9.2,3,1
8,68,6,4.9,2,0
6,94,0,7.7,2,1
1,37,2,7.0,2,0
2,94,3,4.9,3,0
12,35,3,7.6,1,1
8,94,1,6.2,0,1
6,40,4,6.9,1,1
12,86,3,4.7,1,0
5,79,3,6.5,2,1
1,72,0,8.2,2,0
5,62,5,8.2,1,1
10,48,2,6.3,2,1
12,80,1,9.7,0,1
7,72,6,6.2,1,1
12,97,0,8.1,3,1
1,76,2,7.2,1,1
8,54,1,6.3,1,1
5,42,4,5.3,0,1
10,46,4,9.2,3,1
3,51,5,5.3,3,0
12,60,3,6.5,2,1
8,59,4,8.6,1,1
8,54,2,6.2,3,1
5,78,4,7.0,3,1
4,47,6,9.7,2,1
8,77,4,4.8,0,0
9,45,2,8.3,0,1
5,87,4,8.6,1,1
2,58,6,9.0,3,1
1,83,0,9.3,3,1
4,79,0,7.2,2,1
6,42,6,5.7,2,1
5,90,5,5.2,1,1
10,30,0,7.0,0,1
3,97,3,5.9,0,1
2,36,1,5.8,3,1
2,44,6,7.9,3,1
1,95,4,7.7,1,1
5,84,0,8.4,2,1
7,53,5,5.8,0,1
9,94,6,6.4,0,1
8,35,5,6.6,3,1
5,32,2,9.8,0,0
11,43,6,8.5,2,1
6,73,6,5.2,1,1
12,91,5,8.2,1,1
2,88,0,8.9,2,1
4,35,2,5.6,2,1
9,90,2,9.8,0,1
4,66,2,8.6,0,1
6,64,0,9.2,2,1
7,86,3,6.9,2,1
8,93,2,9.8,2,1
12,84,0,8.8,3,1
3,67,2,7.8,0,0
5,87,4,8.1,3,1
8,74,3,5.4,0,1
10,85,2,9.4,0,1
11,81,2,4.9,1,0
3,86,0,9.6,1,1
11,76,2,4.9,3,0
1,49,5,9.6,3,1
6,86,6,9.6,0,1
9,76,3,7.6,2,1
4,44,0,8.0,1,1
9,45,2,6.6,2,1
4,66,5,8.3,3,1
3,39,3,5.6,1,1
2,70,5,6.9,2,1
9,67,2,8.3,1,1
12,52,6,8.3,2,1
2,55,6,7.2,1,1
8,33,2,5.8,2,1
3,41,0,9.8,2,0
8,97,3,8.4,3,1
2,46,2,8.9,0,0
11,96,2,6.9,1,1
9,53,6,9.2,1,1
1,45,4,6.8,1,0
12,58,2,5.4,2,1
11,65,1,5.9,2,1
11,51,4,5.0,1,0
10,73,6,5.4,0,1
1,63,5,4.7,1,0
7,33,3,8.6,2,1
5,91,1,8.0,3,1
2,37,1,6.1,3,1
6,48,2,7.0,2,1
6,81,1,8.5,2,1
2,70,1,7.3,3,1
8,61,1,5.2,0,0
10,83,1,9.6,1,1
10,70,1,8.9,1,1
9,89,3,7.2,2,1
2,80,4,7.2,3,1
4,75,0,9.7,0,0
11,90,2,7.7,0,1
7,47,2,9.1,2,1
6,35,3,8.6,0,1
4,76,4,7.6,2,1
9,87,6,4.9,2,0
10,45,1,9.0,0,1
6,76,6,6.6,1,1
9,81,4,5.6,0,0
6,90,4,5.2,3,0
3,71,4,9.3,2,1
10,68,4,5.4,2,1
8,68,3,7.3,0,1
11,44,3,6.5,2,1
12,33,4,8.8,3,1
11,59,5,5.9,0,1
11,78,1,5.4,1,0
2,54,0,9.6,3,0
12,56,3,5.3,3,1
1,47,4,8.5,1,1
8,97,3,9.9,2,1
8,98,2,9.7,2,1
12,63,4,8.1,3,1
4,65,4,5.5,2,0
5,66,5,9.8,1,1
8,70,3,8.2,2,1
12,65,2,7.5,0,1
9,78,3,7.6,2,1
3,67,0,9.7,2,1
2,74,3,9.7,2,1
4,55,6,8.5,2,1
12,64,1,9.5,0,1
10,60,1,7.8,0,1
9,58,5,8.1,1,1
7,72,5,4.8,3,0
3,30,4,5.0,1,0
8,91,5,6.7,1,1
5,71,2,8.6,0,1
2,59,4,9.4,0,1
3,34,6,5.4,3,1
12,67,0,5.5,0,0
6,66,3,7.8,3,1
3,94,3,9.3,2,1
2,72,1,5.5,3,1
1,73,6,8.4,2,1
4,52,4,7.6,3,1
9,71,0,9.0,3,1
3,47,3,8.1,2,1
1,63,3,9.6,1,1
6,68,4,5.9,0,0
4,37,5,6.4,0,1
3,81,5,7.0,2,1
11,67,2,8.2,1,1
3,91,1,5.7,3,1
7,90,6,7.8,1,1
11,40,4,8.6,3,1
6,39,4,7.4,0,1
9,94,1,4.8,1,0
9,86,0,5.4,1,1
9,87,6,7.1,0,1
9,83,3,6.9,0,1
11,69,5,7.5,0,1
1,57,4,6.6,0,0
2,37,0,6.4,3,0
7,53,6,4.7,1,0
12,83,2,8.6,3,1
7,78,0,6.9,1,1
6,45,1,8.0,3,1
12,58,6,7.4,0,1
5,89,5,8.6,3,1
4,61,3,7.4,2,1
4,44,0,5.3,3,1
1,60,1,9.6,0,0
1,87,4,5.0,0,0
1,81,3,5.8,1,1
1,47,4,8.6,2,0
10,70,4,9.4,2,1
3,96,1,5.8,3,0
10,52,5,4.8,3,0
1,74,5,7.5,3,1
6,83,3,8.7,1,1
3,98,3,6.1,1,1
5,48,6,9.1,3,1
9,82,3,9.4,1,1
5,56,2,6.6,0,1
6,41,4,9.5,1,1
7,35,6,4.8,0,0
10,57,3,5.5,1,1
1,57,1,6.3,0,0
8,61,5,8.5,1,1
4,71,6,6.6,2,1
9,75,2,6.6,2,1
8,89,0,6.4,3,1
6,56,2,8.6,2,1
10,58,5,6.7,1,1
9,83,2,4.6,1,0
4,78,4,5.6,1,1
11,73,2,8.0,3,1
11,92,3,9.7,1,1
6,51,1,8.5,3,1
9,37,4,5.5,0,1
11,36,6,4.9,0,0
11,59,0,6.7,1,1
9,88,2,4.5,0,0
11,91,5,7.8,3,1
9,82,0,4.6,0,0
5,98,2,7.4,0,1
12,85,6,7.2,1,1
2,97,1,5.1,1,0
9,62,6,5.5,2,0
6,81,3,6.6,1,1
4,68,5,9.8,0,1
11,34,0,8.0,3,1
9,90,0,6.5,0,1
2,93,6,8.3,3,1
6,42,4,8.0,0,1
12,90,2,5.7,0,1
5,34,1,8.2,2,1
4,48,6,4.6,3,0
5,50,4,9.5,1,1
7,72,3,7.6,1,1
12,40,4,8.8,2,1
7,59,6,4.8,0,0
10,80,6,6.3,2,1
5,87,3,4.7,1,0
7,85,1,6.4,3,1
10,67,6,5.0,1,0
2,64,1,8.4,3,1
11,49,5,8.3,3,1
2,41,0,6.2,2,0
5,43,1,6.9,0,0
9,95,3,6.9,0,1
6,41,4,4.6,2,0
1,67,3,9.2,3,1
12,61,4,8.7,1,1
3,47,2,8.2,2,1
3,38,1,5.9,3,0
2,76,2,6.1,1,1
10,55,3,7.2,0,1
1,80,2,5.2,3,1
6,85,6,6.3,1,1
10,55,3,6.1,2,1
7,70,2,5.5,3,1
6,78,2,8.7,3,1
10,55,4,6.5,1,1
9,33,5,8.2,3,1
4,86,6,9.6,2,1
2,82,5,9.0,3,1
5,60,2,5.3,1,1
2,87,4,8.8,3,1
9,94,6,7.6,3,1
6,98,4,7.4,0,1
4,75,1,5.1,0,0
11,81,6,7.5,2,1
7,43,0,9.7,0,1
9,96,4,5.9,1,1
11,94,1,6.6,2,1
8,43,2,9.9,3,1
2,44,6,9.5,1,1
6,88,6,6.4,1,1
6,90,0,7.3,3,1
8,70,0,8.4,2,1
12,44,0,4.7,2,0
11,51,5,8.0,1,1
9,50,2,7.3,3,1
4,81,5,9.7,1,1
11,85,3,5.5,0,1
8,84,3,9.3,0,1
4,65,6,8.3,0,1
9,53,2,7.6,2,1
2,63,5,5.6,3,1
10,79,4,8.0,3,1
6,75,6,7.7,3,1
11,68,4,7.8,0,1
6,45,1,8.1,2,1
6,48,4,5.1,3,0
3,79,3,6.8,1,1
9,52,4,7.1,1,1
3,53,2,7.1,3,1
6,31,3,7.8,1,1
7,94,5,5.6,3,1
12,86,3,7.2,1,1
1,58,2,4.9,0,0
9,66,1,6.0,3,1
8,95,0,7.6,0,1
9,76,4,5.9,0,1
4,84,0,6.9,1,1
1,87,2,6.1,2,1
2,86,6,9.2,0,1
4,56,6,8.7,2,1
10,84,1,9.1,1,1
4,37,4,8.7,2,1
10,98,1,7.4,2,1
5,67,4,9.8,2,1
9,42,1,9.6,3,1
5,46,5,9.5,1,1
12,71,6,5.8,1,1
8,48,4,8.2,2,1
7,87,0,7.9,0,1
12,65,5,6.7,2,1
8,71,4,7.0,0,1
12,41,5,9.2,3,1
12,75,6,7.9,0,1
7,57,3,8.8,1,1
6,66,2,7.2,1,1
8,73,5,7.6,0,1
11,88,0,4.7,0,0
3,86,3,9.5,0,1
7,55,5,9.9,1,1
5,50,6,9.3,2,1
6,62,0,5.0,2,0
11,51,0,8.1,3,1
12,59,3,7.9,0,1
1,57,3,8.3,0,0
4,96,5,5.2,3,0
2,84,5,8.3,1,1
4,79,0,7.1,0,0
5,47,3,6.5,1,1
11,48,0,8.0,0,1
3,86,2,7.8,1,1
3,82,4,7.9,3,1
2,42,1,9.1,0,0
7,74,3,7.7,2,1
4,65,5,8.8,0,1
10,66,6,5.8,0,1
5,56,4,8.1,1,1
5,36,6,8.5,1,1
2,60,3,7.2,0,1
6,70,1,9.8,3,1
10,83,2,9.1,1,1
2,32,4,8.6,0,0
4,35,0,4.6,3,0
11,94,6,7.2,3,1
7,40,5,6.8,1,1
5,40,4,6.0,1,1
3,98,2,9.8,3,1
11,38,2,7.7,3,1
4,37,1,8.4,0,0
2,88,4,9.5,0,1
12,52,0,6.2,0,1
12,31,1,8.3,3,1
9,96,6,9.6,2,1
3,64,5,5.4,0,1
7,64,4,4.7,0,0
10,39,3,5.9,3,1
10,51,2,4.8,1,0
2,44,1,5.9,0,0
1,61,0,4.7,3,0
3,52,6,6.5,0,1
12,83,1,7.5,2,1
12,70,2,5.8,0,1
11,36,1,5.1,1,0
1,81,0,8.8,3,1
5,71,0,9.2,3,1
4,67,4,4.5,2,0
4,89,2,8.5,3,1
4,61,1,9.9,0,1
9,74,5,4.6,0,0
1,78,6,9.6,2,1
9,60,3,5.1,3,0
3,65,0,9.7,0,1
9,82,5,9.3,2,1
12,40,4,7.0,0,1
11,80,0,7.2,0,1
3,60,2,6.8,2,1
7,71,2,9.1,3,1
2,55,1,6.0,0,0
3,87,3,5.3,2,1
4,87,2,7.4,3,1
2,41,1,5.9,2,0
12,35,1,9.0,2,1
12,61,2,5.3,3,1
5,52,0,8.2,3,1
9,61,0,9.1,3,1
3,45,0,5.1,0,0
4,46,1,9.0,3,1
11,40,4,6.5,2,1
2,32,0,9.5,1,0
8,46,0,9.4,2,1
8,36,1,5.2,3,1
1,78,5,6.6,3,1
4,53,2,5.4,2,1
10,61,5,5.3,2,1
8,37,0,9.3,2,1
7,55,5,6.6,1,1
9,32,3,7.9,2,1
8,74,4,7.1,2,1
3,33,2,6.6,1,0
5,37,6,4.7,3,0
10,59,1,7.4,0,1
4,64,4,5.8,0,1
10,79,2,9.6,1,1
10,70,6,5.5,2,1
12,75,4,4.7,1,0
4,93,4,7.5,2,1
1,41,0,5.4,1,0
1,97,3,7.7,0,1
10,55,6,6.3,1,1
3,71,0,6.3,0,0
12,48,6,5.3,0,1
2,77,5,9.1,3,1
6,68,2,7.7,1,1
12,85,6,9.8,3,1
3,75,1,8.0,1,1
12,67,1,6.5,1,1
12,80,6,8.4,0,1
6,58,5,5.5,0,1
12,39,1,5.3,2,1
2,72,3,5.4,0,0
2,74,2,5.8,0,1
8,83,1,4.8,3,0
7,74,4,7.2,3,1
8,58,1,5.0,3,0
1,67,0,4.9,2,0
2,39,2,5.9,1,0
3,39,4,9.3,0,0
8,33,3,9.8,1,1
7,50,0,7.8,0,1
4,82,5,6.3,2,1
5,60,0,8.1,0,0
8,49,0,7.5,2,1
2,67,6,4.5,3,0
1,56,1,5.6,2,0
8,44,2,9.8,3,1
11,63,0,7.0,3,1
7,77,1,5.5,3,0
5,58,6,6.9,2,1
3,42,0,7.5,2,1
10,59,4,6.7,0,1
9,83,4,9.0,3,1
4,90,2,7.6,0,1
12,34,4,6.6,1,1
8,52,1,5.1,1,0
3,35,3,8.9,0,1
11,48,6,6.9,2,1
12,38,0,6.2,3,1
9,71,6,7.5,2,1
1,96,6,7.3,3,1
3,48,4,5.1,0,0
10,42,6,9.5,2,1
6,82,2,9.2,3,1
10,90,0,8.0,1,1
3,81,0,6.0,3,1
6,60,0,9.3,3,1
6,32,2,9.5,2,1
8,42,6,6.2,1,1
12,86,6,5.2,2,0
11,41,1,6.8,3,1
7,92,6,5.6,2,1
3,38,2,7.3,3,1
9,33,1,5.2,1,1
1,61,0,5.6,3,0
4,65,2,6.4,3,1
11,45,5,7.2,0,1
8,87,1,5.8,3,1
3,63,5,6.4,0,1
7,36,1,6.0,1,1
11,58,5,9.1,1,1
7,95,0,6.0,0,1
3,52,4,7.1,0,0
5,65,3,7.8,3,1
8,62,1,9.1,3,1
9,80,4,6.1,0,1
11,77,4,4.5,2,0
2,91,0,6.1,2,1
5,63,5,8.0,2,1
9,60,0,5.5,3,1
12,33,5,8.2,3,1
5,83,3,9.9,3,1
10,54,2,8.5,1,1
11,90,5,8.2,2,1
3,53,2,7.2,0,1
12,53,5,8.5,2,1
4,75,1,8.0,2,1
6,77,2,6.8,2,1
2,90,0,7.0,0,1
2,78,4,5.6,2,1
3,47,1,9.2,2,1
8,48,2,7.6,1,1
8,72,5,8.7,1,1
1,30,3,6.2,2,0
3,50,3,5.6,0,0
7,81,3,6.8,3,1
1,98,1,6.6,2,1
6,97,1,9.6,0,1
11,61,1,8.2,2,1
2,79,4,6.2,2,1
1,68,2,5.4,3,1
6,85,5,7.7,1,1
8,75,6,6.4,1,1
7,32,1,5.4,1,1
12,32,4,5.2,1,0
1,78,5,8.3,2,1
10,36,4,8.7,0,1
11,32,0,8.1,0,1
7,45,4,6.8,2,1
3,56,5,7.1,0,1
11,42,5,6.1,2,1
12,47,3,7.9,0,1
10,45,2,7.3,0,1
8,55,4,8.7,1,1
9,55,2,8.7,3,1
1,93,1,6.1,3,1
1,31,5,6.3,0,0
10,93,1,9.4,0,1
2,42,2,8.7,1,1
5,89,0,9.8,0,1
1,67,2,8.9,2,1
1,31,6,5.1,1,0
3,72,2,8.1,3,1
5,41,2,9.7,2,1
7,81,3,5.5,2,1
8,83,5,8.2,1,1
12,37,6,5.1,1,0
10,91,6,5.1,3,0
7,75,4,5.5,0,1
12,46,3,9.3,3,1
7,86,0,5.1,0,0
6,31,5,5.9,1,1
6,96,4,8.1,0,1
12,61,3,6.8,2,1
11,79,1,8.1,0,1
3,94,6,4.6,3,0
3,39,6,9.1,3,1
6,65,0,6.2,1,1
7,81,6,7.5,1,1
8,87,0,4.9,3,0
2,93,5,6.9,0,1
7,34,4,5.1,0,0
10,68,4,9.0,1,1
8,73,2,8.0,0,1
8,72,4,8.9,3,1
6,87,0,8.4,0,1
4,30,2,8.6,2,1
5,96,2,9.0,0,1
3,93,1,4.7,3,0
10,55,1,5.1,0,0
7,57,3,9.5,1,1
2,83,0,8.4,0,1
11,94,1,6.9,3,1
12,36,4,4.5,3,0
8,95,6,9.0,1,1
3,46,0,8.2,3,1
6,94,3,7.8,3,1
12,61,2,9.8,3,1
5,87,6,9.7,1,1
10,95,2,5.2,2,1
11,57,1,9.6,1,1
5,74,5,7.9,1,1
11,52,4,9.8,2,1
6,91,4,8.3,3,1
9,66,6,8.1,3,1
9,43,0,8.9,3,1
11,37,1,5.3,2,1
5,62,1,5.4,0,1
9,34,2,6.1,3,1
11,58,5,5.1,3,0
12,66,5,5.8,0,1
11,70,4,6.6,0,1
5,55,4,4.6,3,0
11,77,6,9.0,1,1
4,67,3,8.7,1,1
2,53,1,9.8,0,0
7,65,4,6.5,2,1
10,62,0,5.2,2,1
1,49,2,9.6,0,0
11,68,3,8.7,2,1
12,70,4,4.9,1,0
9,38,6,9.7,1,1
9,81,0,6.7,2,1
4,72,2,5.7,2,0
10,97,3,9.6,0,1
6,87,1,5.1,1,0
11,71,3,9.7,0,1
9,66,0,6.6,2,1
9,87,3,7.3,0,1
11,54,2,6.1,0,1
3,98,4,9.6,0,1
4,57,6,7.9,3,1
4,98,6,9.0,3,1
2,49,0,8.0,3,1
2,36,1,4.7,2,0
10,59,2,7.5,3,1
11,81,3,6.6,2,1
11,45,4,4.6,0,0
10,38,6,8.0,0,1
2,75,4,8.3,0,1
11,68,4,6.1,0,1
8,78,3,6.0,0,1
9,58,1,7.1,3,1
9,67,5,8.8,1,1
12,77,0,6.1,1,1
1,80,4,5.2,0,0
12,74,1,8.5,3,1
9,48,1,9.4,1,1
5,54,0,5.7,1,1
1,89,5,7.6,0,1
2,62,0,6.1,1,0
8,72,2,8.4,1,1
4,42,2,8.1,0,1
8,72,4,6.2,2,1
3,76,6,8.2,2,1
3,30,2,9.7,1,1
11,85,2,8.3,2,1
12,72,3,5.2,3,1
8,43,1,8.7,0,1
3,98,1,9.0,2,1
11,39,5,8.5,0,1
9,33,6,9.3,3,1
4,34,4,8.7,2,1
9,90,5,7.4,1,1
4,67,1,6.5,3,1
2,80,2,7.2,0,1
10,51,6,9.1,1,1
3,48,5,6.9,3,1
1,58,6,9.6,3,1
5,77,1,5.8,0,1
6,79,3,7.3,3,1
1,71,0,9.3,2,1
9,52,3,5.9,3,0
2,96,2,8.0,3,1
4,96,3,9.8,2,1
6,92,6,8.9,3,1
1,94,1,9.3,3,1
2,95,5,5.4,2,0
6,45,5,5.5,1,1
2,91,5,6.3,3,1
10,50,5,7.1,3,1
1,46,4,4.6,1,0
9,35,4,5.2,1,0
3,96,3,5.9,0,1
5,40,1,8.4,3,1
8,91,1,7.8,1,1
10,48,6,9.0,1,1
9,63,1,7.9,2,1
10,38,1,9.5,3,1
2,32,1,6.6,3,1
3,90,4,7.8,0,1
9,94,6,9.2,0,1
11,46,4,5.0,0,0
11,85,4,9.3,3,1
1,97,3,6.5,1,1
8,78,2,9.6,0,1
5,91,6,6.8,1,1
2,66,4,9.4,3,1
1,30,4,5.9,0,0
7,56,5,7.3,2,1
2,49,3,6.7,2,0
10,76,4,7.4,2,1
7,56,3,9.9,3,1
9,91,2,5.5,2,1
7,47,6,8.7,0,1
8,50,0,8.5,1,1
6,36,1,7.2,3,1
1,41,6,9.7,1,1
10,85,0,7.0,0,1
6,40,4,5.9,0,1
7,96,2,9.5,0,1
3,93,3,9.6,0,1
11,96,2,5.6,1,0
9,59,4,7.7,1,1
6,60,5,8.1,0,1
2,65,6,9.8,3,1
7,81,4,6.4,1,1
12,38,0,7.3,2,1
9,74,2,8.4,2,1
4,88,3,5.7,0,0
2,39,4,6.7,2,0
9,62,4,5.1,2,0
7,91,6,8.2,1,1
8,88,4,8.6,0,1
5,38,3,7.1,1,1
4,70,3,8.2,2,1
1,63,1,7.3,2,0
6,39,4,8.1,1,1
6,57,4,7.1,2,1
12,54,3,5.5,1,0
5,56,1,5.8,1,1
6,49,6,9.0,0,1
2,93,4,5.1,0,0
9,35,6,8.6,3,1
6,93,4,6.5,2,1
9,65,3,7.2,1,1
3,36,4,8.6,3,1
9,34,4,7.1,2,1
11,52,3,6.6,0,1
8,70,5,8.3,0,1
4,78,4,4.6,0,0
10,63,1,6.3,2,1
8,73,2,5.8,1,1
12,77,2,5.6,3,0
3,59,6,5.5,0,1
9,85,6,8.8,3,1
12,49,3,5.6,0,0
11,96,4,7.2,2,1
5,62,4,8.7,0,1
12,50,0,6.7,1,1
8,42,3,8.9,2,1
6,62,2,5.9,0,1
11,55,4,6.4,1,1
5,75,2,9.8,3,1
8,40,3,8.7,2,1
3,51,5,7.0,2,1
10,81,6,6.8,0,1
6,59,2,4.9,2,0
12,64,4,8.0,3,1
8,76,5,6.0,3,1
3,32,1,6.7,1,0
12,40,1,8.1,1,1
2,38,3,6.6,0,0
7,97,6,4.6,0,0
10,49,0,5.1,3,0
4,66,3,6.2,1,1
3,33,0,5.2,2,0
6,90,3,9.1,2,1
3,52,4,7.5,3,1
